excel_row_1_based,name,scholar_profile_id_excel,profile_url,local_match_count,local_profile_id,local_name,has_profile_json,has_chunks,all_local_profile_ids
5737,,nan,https://vet.osu.edu/people/richard-slemons,1,415fac47-e045-4517-9aae-14c79ab836fb,Richard Slemons,True,False,415fac47-e045-4517-9aae-14c79ab836fb
5738,,nan,https://engineering.osu.edu/people/sui.125,1,9a164a26-6d57-4316-8087-6f34e60e3127,Richard Sui,True,False,9a164a26-6d57-4316-8087-6f34e60e3127
5739,,nan,https://dentistry.osu.edu/faculty/richard-d-sweaney-dds,1,80b9590e-dee9-4022-88a3-28199db9f8f5,Richard Sweaney,True,False,80b9590e-dee9-4022-88a3-28199db9f8f5
5741,,nan,https://wexnermedical.osu.edu/find-a-doctor/richard-urman-md-144071,1,4de68537-f82d-4542-9f4a-27f545e80bb3,Richard Urman,True,False,4de68537-f82d-4542-9f4a-27f545e80bb3
5742,,nan,https://engineering.osu.edu/people/vasques.4,0,,,False,False,
5743,,nan,https://medicine.osu.edu/find-faculty/clinical/surgery/richard-wood-md,1,7e4b1f9e-d041-48f8-8508-9af0694248ca,Richard Wood,True,False,7e4b1f9e-d041-48f8-8508-9af0694248ca
5745,,nan,https://artsandsciences.osu.edu/people/harrison.736,0,,,False,False,
5750,,nan,https://wexnermedical.osu.edu/find-a-doctor/rima-kang-md-52935,1,ceba77ab-0f5d-4f1e-b935-d4c9532a293c,Rima Kang,True,False,ceba77ab-0f5d-4f1e-b935-d4c9532a293c
5751,,nan,https://medicine.osu.edu/find-faculty/clinical/family-medicine/risa-long-phd,0,,,False,False,
5753,,nan,https://optometry.osu.edu/directory/graduate-student/rita-barr,0,,,False,False,
5754,,nan,https://nursing.osu.edu/faculty-and-staff/rita-pickler,1,526f9d3f-1cfb-466e-adb3-019d5ff3bc30,Rita Pickler,True,False,526f9d3f-1cfb-466e-adb3-019d5ff3bc30
5755,,nan,https://cancer.osu.edu/find-a-doctor/search-physician-directory/lori-b-muetzel,0,,,False,False,
5756,,nan,https://wexnermedical.osu.edu/find-a-doctor/ritesh-patel-md-88236,1,ca87e6c6-e2af-4d66-8eff-bf05ef278451,Ritesh Patel,True,False,ca87e6c6-e2af-4d66-8eff-bf05ef278451
5757,,nan,https://wexnermedical.osu.edu/find-a-doctor/ritu-kapoor-md-32631,1,30c7ab6c-f8a1-4328-96b7-8303c6a93357,Ritu Kapoor,True,False,30c7ab6c-f8a1-4328-96b7-8303c6a93357
