file,scholar,num_urls,unique_urls,distinct_domains,categories,accuracy,uniqueness,richness,quantity,overall
tarunjit-butalia-947da868.txt,Tarunjit Butalia,7,7,7,academic_profile:3|other:2|faculty_osu:1|university:1,5.7,10.0,8.6,7.0,7.6
terry-klinker-63ab5585.txt,Terry Klinker,5,5,5,other:4|faculty_osu:1,10.0,10.0,2.8,7.0,7.6
xiaorui-wang-95676a04.txt,Xiaorui Wang,7,7,7,other:3|academic_profile:2|faculty_osu:1|publications:1,5.7,10.0,8.6,7.0,7.6
yu-zhao-8e9bc743.txt,Yu Zhao,7,7,6,other:3|academic_profile:2|faculty_osu:1|university:1,5.7,10.0,8.6,7.0,7.6
yuchen-liang-6fb1d194.txt,Yuchen Liang,10,10,9,publications:4|other:3|academic_profile:2|faculty_osu:1,5.0,10.0,8.6,8.5,7.6
ana-wong-6c8412e1.txt,Ana Wong,3,3,3,academic_profile:2|faculty_osu:1,10.0,7.6,5.8,5,7.5
aotian-chen-7f121151.txt,Aotian Chen,5,5,3,faculty_osu:3|academic_profile:1|other:1,8.0,7.6,7.2,7.0,7.5
austin-tiley-a344b821.txt,Austin Tiley,6,6,5,faculty_osu:2|academic_profile:2|other:2,6.7,10.0,7.2,7.0,7.5
beth-bucher-dbeebc2d.txt,Beth Bucher,5,5,3,faculty_osu:3|academic_profile:1|other:1,8.0,7.6,7.2,7.0,7.5
carol-toris-8b67129b.txt,Carol Toris,3,3,3,other:2|academic_profile:1,10.0,7.6,5.8,5,7.5
charles-albright-408725a3.txt,Charles Albright,4,4,4,other:2|faculty_osu:1|university:1,10.0,8.8,4.2,6,7.5
charles-cartwright-3c90b0f9.txt,Charles Cartwright,5,5,3,faculty_osu:2|other:2|university:1,10.0,7.6,4.2,7.0,7.5
davita-watkins-3d376dfa.txt,Davita Watkins,4,4,4,other:2|faculty_osu:1|university:1,10.0,8.8,4.2,6,7.5
dennis-harwig-8dc9b0e6.txt,Dennis Harwig,6,6,6,other:3|academic_profile:2|faculty_osu:1,6.7,10.0,7.2,7.0,7.5
ding-zhu-cadb1794.txt,Ding Zhu,6,6,6,academic_profile:3|other:2|faculty_osu:1,6.7,10.0,7.2,7.0,7.5
dylan-williams-b8a2987c.txt,Dylan Williams,5,5,3,faculty_osu:3|academic_profile:1|other:1,8.0,7.6,7.2,7.0,7.5
emrecan-kutay-bf01aaee.txt,Emrecan Kutay,7,7,3,faculty_osu:3|university:3|other:1,10.0,7.6,4.2,7.0,7.5
erica-shelton-7fb28b9d.txt,Erica Shelton,10,10,8,other:5|faculty_osu:3|university:2,8.0,10.0,4.2,8.5,7.5
feng-qin-ceeeaa54.txt,Feng Qin,12,12,5,faculty_osu:5|academic_profile:5|other:2,5.8,10.0,7.2,8.5,7.5
jason-mathews-a82e3783.txt,Jason Mathews,7,7,7,other:5|faculty_osu:1|noise:1,9.6,10.0,2.8,7.0,7.5
jeff-dotson-35175c34.txt,Jeff Dotson,6,6,5,other:3|faculty_osu:2|academic_profile:1,6.7,10.0,7.2,7.0,7.5
jessie-zhao-76762167.txt,Jessie Zhao,3,3,3,other:2|academic_profile:1,10.0,7.6,5.8,5,7.5
jose-castro-3ddee8a6.txt,Jose Castro,3,3,3,academic_profile:2|faculty_osu:1,10.0,7.6,5.8,5,7.5
kelly-kennedy-8d31e0f8.txt,Kelly Kennedy,10,10,6,faculty_osu:5|other:5,9.0,10.0,2.8,8.5,7.5
kiryung-lee-9819fcba.txt,Kiryung Lee,13,13,7,academic_profile:6|faculty_osu:3|publications:2|other:2,3.8,10.0,8.6,10.0,7.5
linxi-jiang-ab47cf7c.txt,Linxi Jiang,7,7,4,faculty_osu:4|academic_profile:2|other:1,7.1,8.8,7.2,7.0,7.5
lisa-barclay-adac2f48.txt,Lisa Barclay,3,3,3,academic_profile:2|faculty_osu:1,10.0,7.6,5.8,5,7.5
